naslov,izvajalec,url,kljuc,bpm,capo,leto,zanr,uporabljeni_akordi,zaporedje_akordov,stevilo_razlicnih_akordov,dolzina_zaporedja
Higher Love,"Kygo, Whitney Houston",https://guitartuna.com/chords/higher-love-kygo-whitney-houston-easy-guitar-chords-621fa80150cb7457161fdb81,Ab major,104,1,2019,Pop,"['A#m', 'G#', 'D#', 'Fm', 'C#', 'F#', 'Cm']","['A#m', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'A#m', 'G#', 'F#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'A#m', 'G#', 'F#', 'G#', 'F#', 'C#', 'G#', 'D#', 'D#', 'Fm', 'D#', 'Cm', 'C#', 'D#', 'C#', 'G#', 'D#', 'Cm', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'A#m', 'G#', 'F#', 'G#', 'F#', 'C#', 'A#m', 'G#', 'A#m', 'G#', 'F#', 'G#', 'F#', 'C#', 'G#', 'D#', 'D#', 'Fm', 'D#', 'Cm', 'C#', 'D#', 'C#', 'G#', 'D#', 'Cm', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'Fm', 'D#', 'A#m', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm']",7,180
Ramblin' Man,"Hank Williams, Drifting Cowboys",https://guitartuna.com/chords/ramblin-man-hank-williams-drifting-cowboys-easy-guitar-chords-6217bc317d0e3fa4285c6771,A minor,105,0,1951,Country,"['Am', 'E']","['Am', 'Am', 'Am', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'Am', 'E', 'Am', 'E', 'Am']",2,36
All I Could Do Was Cry,Etta James,https://guitartuna.com/chords/all-i-could-do-was-cry-etta-james-easy-guitar-chords-6217b3187d0e3fa4285c2f87,Ab major,87,1,1960,R&B,"['G#', 'Fm', 'C#', 'D#', 'A#m', 'D#m', 'A#', 'C#m']","['G#', 'Fm', 'C#', 'D#', 'G#', 'A#m', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'Fm', 'A#', 'D#', 'A#m', 'D#', 'G#', 'A#m', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'C#', 'C#m', 'G#', 'Fm', 'A#m', 'D#', 'G#', 'A#m', 'G#', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'C#m', 'G#', 'Fm', 'A#m', 'D#', 'G#', 'A#m', 'D#', 'G#', 'A#m', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'D#m', 'G#', 'C#', 'D#', 'G#', 'C#', 'C#m', 'G#', 'Fm', 'A#m', 'D#', 'G#', 'A#m', 'G#', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm']",8,104
007 (Shanty Town),"Desmond Dekker, The Aces",https://guitartuna.com/chords/007-shanty-town-desmond-dekker-the-aces-easy-guitar-chords-621f8d4250cb7457161fadae,Ab major,100,1,1967,Reggae,"['G#', 'C#', 'D#']","['G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#', 'G#', 'C#', 'D#']",3,96
I Want You,Marvin Gaye,https://guitartuna.com/chords/i-want-you-marvin-gaye-easy-guitar-chords-6217ae017d0e3fa4285c10f8,C# minor,101,4,1976,R&B,"['C#m', 'F#m', 'G#m', 'A', 'B', 'E', 'G#']","['C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'C#m', 'F#m', 'G#m', 'A', 'G#m', 'C#m', 'F#m', 'B', 'E', 'G#', 'C#m', 'F#m', 'B', 'G#', 'C#m', 'F#m', 'B', 'G#', 'C#m', 'F#m', 'G#m', 'A', 'G#m', 'C#m', 'F#m', 'B', 'E', 'G#', 'C#m', 'F#m', 'B', 'G#', 'C#m', 'F#m', 'B', 'G#', 'C#m', 'F#m', 'G#m', 'A', 'G#m', 'C#m', 'F#m', 'B', 'E', 'G#', 'C#m', 'F#m', 'G#m', 'A', 'G#m', 'C#m', 'F#m', 'B', 'E', 'G#', 'C#m']",7,73
Coney Island Baby,Lou Reed,https://guitartuna.com/chords/coney-island-baby-lou-reed-easy-guitar-chords-6217b3127d0e3fa4285c2f71,C major,82,0,1976,Rock,"['C', 'F', 'Dm', 'G', 'Am']","['C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']",5,131
Fire,The Pointer Sisters,https://guitartuna.com/chords/fire-the-pointer-sisters-easy-guitar-chords-6217b1967d0e3fa4285c2646,Db major,118,1,1978,R&B,"['C', 'D', 'Am', 'F', 'G', 'Dm']","['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'D', 'C', 'D', 'Am', 'F', 'G', 'C', 'C', 'C', 'C', 'C', 'Dm', 'C', 'Dm', 'Am', 'F', 'G', 'C', 'C', 'C', 'F', 'C', 'G', 'C', 'F', 'C', 'D', 'G', 'C', 'Dm', 'C', 'Dm', 'Am', 'F', 'G', 'C', 'C', 'C', 'C', 'C', 'C', 'Dm', 'Dm', 'C', 'C', 'Dm', 'Dm', 'Am', 'Am', 'F', 'G', 'C', 'C', 'C']",6,63
Espresso,Ramses Shaffy,https://guitartuna.com/chords/espresso-ramses-shaffy-easy-guitar-chords-673dbfad96e0f679cb98fb2a,G major,130,0,1978,Pop,"['G', 'Bm', 'Em', 'D#', 'D', 'Cm', 'F', 'B', 'Am', 'E']","['G', 'Bm', 'Em', 'D#', 'D', 'G', 'Bm', 'Em', 'Cm', 'G', 'Bm', 'Em', 'Cm', 'D', 'G', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'Em', 'B', 'Em', 'B', 'Em', 'B', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Bm', 'Em', 'Cm', 'G', 'Bm', 'Em', 'Cm', 'D', 'G', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'Em', 'B', 'Em', 'B', 'Em', 'B', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Bm', 'Em', 'Cm', 'G', 'Bm', 'Em', 'Cm', 'D', 'G', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'Em', 'B', 'Em', 'B', 'Em', 'B', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Bm', 'Em', 'Cm', 'G', 'Bm', 'Em', 'Cm', 'D', 'G', 'G', 'F', 'G', 'F', 'G', 'F', 'G', 'Em', 'B', 'Em', 'B', 'Em', 'B', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'Bm', 'E', 'Am', 'D', 'G', 'Am', 'D']",10,164
Ain't Even Done With The Night ,John Mellencamp,https://guitartuna.com/chords/aint-even-done-with-the-night-john-mellencamp-easy-guitar-chords-621f7f7050cb7457161f9613,B major,120,4,1980,Rock,"['G', 'C', 'Em', 'D']","['G', 'G', 'C', 'C', 'G', 'G', 'C', 'C', 'G', 'G', 'C', 'C', 'G', 'G', 'C', 'C', 'G', 'G', 'C', 'C', 'G', 'C', 'G', 'C', 'Em', 'C', 'D', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'G', 'C', 'C', 'G', 'G', 'C', 'C', 'G', 'C', 'G', 'C', 'Em', 'C', 'D', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'Em', 'D', 'C', 'C', 'Em', 'C', 'D', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'G', 'C', 'C', 'G', 'G', 'C', 'G', 'C', 'G', 'C']",4,103
Do I Ever Cross Your Mind,Dolly Parton,https://guitartuna.com/chords/do-i-ever-cross-your-mind-dolly-parton-easy-guitar-chords-621fdff250cb745716203aca,D major,95,2,1982,Country,"['D', 'G', 'A', 'Bm']","['D', 'D', 'D', 'D', 'G', 'D', 'D', 'G', 'D', 'A', 'D', 'Bm', 'D', 'Bm', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'D', 'G', 'D', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'A', 'D', 'Bm', 'D', 'Bm', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'G', 'D', 'G', 'D', 'A', 'Bm', 'G', 'D', 'A', 'D', 'D', 'D', 'D']",4,66
Careless,Paul Kelly,https://guitartuna.com/chords/careless-paul-kelly-easy-guitar-chords-61c67ba4c166d7af081b7efb,G major,112,0,1989,Folk,"['G', 'D', 'Am', 'C']","['G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C', 'G', 'D', 'Am', 'C']",4,152
All My Friends Are Dead,Turbonegro,https://guitartuna.com/chords/all-my-friends-are-dead-turbonegro-easy-guitar-chords-621f895150cb7457161fa6e9,E minor,186,0,2005,Rock,"['Em', 'F', 'Dm', 'D', 'C', 'Am', 'G', 'B']","['Em', 'F', 'Dm', 'F', 'Em', 'Em', 'F', 'Dm', 'F', 'Em', 'Em', 'F', 'Dm', 'F', 'Em', 'Em', 'F', 'Dm', 'F', 'Em', 'D', 'Em', 'D', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'D', 'Em', 'D', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'G', 'D', 'Am', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'D', 'Em', 'D', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'D', 'Em', 'D', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'G', 'D', 'Am', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'D', 'Em', 'Em', 'D', 'Em', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'Em', 'D', 'Em', 'Em', 'D', 'Em', 'Em', 'D', 'C', 'Am', 'D', 'Em', 'Em', 'C', 'G', 'D', 'Am', 'Em', 'C', 'G', 'D', 'Am', 'B', 'C', 'B', 'C', 'B', 'C', 'B', 'D', 'Em', 'F', 'Dm', 'F', 'Em', 'Em', 'F', 'Dm', 'F', 'Em']",8,139
One Crowded Hour,Augie March,https://guitartuna.com/chords/one-crowded-hour-augie-march-easy-guitar-chords-621f89f950cb7457161fa809,A major,113,2,2006,Rock,"['A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'C#', 'B']","['A', 'Bm', 'C#m', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'E', 'C#m', 'Bm', 'A', 'E', 'C#m', 'Bm', 'A', 'F#m', 'B', 'C#m', 'Bm', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'D', 'E', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'A', 'Bm', 'C#m', 'D', 'E', 'F#m', 'D', 'A', 'C#', 'D', 'A', 'F#m', 'A', 'Bm', 'D', 'E', 'A', 'A', 'Bm', 'D', 'E', 'A', 'A', 'Bm', 'D', 'E', 'A']",8,168
Agape,Bear's Den,https://guitartuna.com/chords/agape-bears-den-easy-guitar-chords-61d1367850f9a46a11026bd9,E major,78,4,2014,Folk,"['E', 'C#m', 'B', 'A']","['E', 'E', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'E', 'C#m', 'B', 'A', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'A', 'B', 'A', 'B', 'A', 'B', 'A', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'E', 'B', 'A', 'B', 'C#m', 'A']",4,78
Real Love,Hillsong Young & Free,https://guitartuna.com/chords/real-love-hillsong-young-free-easy-guitar-chords-61c89a0bb2f45495689a87e7,D major,140,2,2016,Worship,"['D', 'G', 'Bm', 'A']","['D', 'D', 'D', 'D', 'D', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'G', 'Bm', 'A', 'D', 'G', 'Bm', 'A', 'D', 'G']",4,135
Miss Me More,Kelsea Ballerini,https://guitartuna.com/chords/miss-me-more-kelsea-ballerini-easy-guitar-chords-61cb80b5e09fadd00cf9ac8a,A minor,86,0,2017,Country,"['Am', 'F', 'G', 'Dm', 'Em']","['Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'Am', 'Dm', 'F', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'G', 'F', 'G', 'F', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'Am', 'Dm', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'G', 'F', 'G', 'F', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'Am', 'Em', 'Dm', 'F', 'Dm', 'Am', 'Dm', 'F', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Dm', 'F', 'G', 'F', 'G', 'F', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'Am']",5,113
Lotus Inn,Why Don't We,https://guitartuna.com/chords/lotus-inn-why-dont-we-easy-guitar-chords-621fc02e50cb7457162004ed,D major,157,2,2020,Pop,"['D', 'G', 'Bm', 'Em', 'A']","['D', 'D', 'G', 'G', 'D', 'D', 'G', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'Bm', 'G', 'Em', 'A', 'Em', 'A', 'D', 'G', 'D', 'G', 'D', 'G', 'Bm', 'G', 'A', 'D', 'D', 'G', 'D', 'G', 'D', 'G', 'Bm', 'G', 'Em', 'A', 'Em', 'A', 'D', 'G', 'D', 'G', 'D', 'G', 'Bm', 'G', 'A', 'D', 'G', 'Bm', 'G', 'A', 'D', 'G', 'D', 'G', 'D', 'G', 'Bm', 'G', 'A', 'D', 'G', 'D', 'G']",5,69
Pay Me My Money Down,Bruce Springsteen,https://guitartuna.com/chords/pay-me-my-money-down-bruce-springsteen-easy-guitar-chords-621fdc3250cb745716203464,G major,86,0,2006,Country,"['G', 'D', 'A#', 'F']","['G', 'D', 'G', 'D', 'G', 'G', 'D', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'D', 'G', 'G', 'G', 'D', 'D', 'D', 'G', 'G', 'D', 'G', 'D', 'G', 'G', 'G', 'D', 'D', 'D', 'G', 'G', 'G', 'D', 'D', 'D', 'G', 'G', 'G', 'A#', 'A#', 'F', 'A#', 'F', 'A#', 'A#', 'A#', 'F', 'F', 'F', 'A#', 'A#', 'A#', 'F', 'F', 'F', 'A#', 'A#', 'A#', 'F', 'F', 'F', 'A#', 'A#', 'A#', 'F', 'F', 'F', 'A#', 'A#', 'A#', 'G', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G', 'D', 'G']",4,85
More Of You,Colton Dixon,https://guitartuna.com/chords/more-of-you-colton-dixon-easy-guitar-chords-61ca461df2c269f8326701d1,Bb major,80,3,2014,Worship,"['D#', 'A#', 'Gm', 'F', 'Cm']","['D#', 'A#', 'Gm', 'F', 'D#', 'A#', 'F', 'D#', 'A#', 'Cm', 'Gm', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'Cm', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'Gm', 'F', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'Cm', 'Gm', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'Cm', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'Gm', 'F', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'A#', 'D#', 'Gm', 'F', 'A#', 'D#', 'F', 'A#', 'D#', 'Gm', 'F', 'A#', 'D#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'Gm', 'F', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F']",5,142
Me ajude a melhorar,Eli Soares,https://guitartuna.com/chords/me-ajude-a-melhorar-eli-soares-easy-guitar-chords-61dd8083d32b42dc7ebeadb9,C# minor,66,4,2014,Worship,"['F#m', 'C#m', 'G#m', 'A']","['F#m', 'C#m', 'F#m', 'C#m', 'F#m', 'G#m', 'A', 'F#m', 'G#m', 'A', 'F#m', 'G#m', 'A', 'G#m', 'A', 'G#m', 'F#m', 'C#m', 'A', 'G#m', 'F#m', 'C#m', 'F#m', 'C#m', 'F#m', 'C#m', 'F#m', 'G#m', 'A', 'F#m', 'G#m', 'A', 'F#m', 'G#m', 'A', 'G#m', 'A', 'G#m', 'F#m', 'C#m', 'A', 'G#m', 'F#m', 'C#m', 'A', 'G#m', 'F#m', 'C#m', 'A', 'G#m', 'F#m', 'C#m']",4,52
Caution [Radio Edit],The Killers,https://guitartuna.com/chords/caution-radio-edit-the-killers-easy-guitar-chords-626f04bee127ba3ba0a7231a,G major,178,0,2020,Pop,"['G', 'Em', 'C', 'D']","['G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'D', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'C', 'Em', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'D', 'G', 'C', 'G', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G']",4,134
Surfer Girl,The Beach Boys,https://guitartuna.com/chords/surfer-girl-the-beach-boys-easy-guitar-chords-61c8d358c166d7af082e76c8,D major,105,0,1963,Rock,"['D', 'F#m', 'Bm', 'G', 'Em', 'A', 'Gm', 'E', 'A#', 'D#', 'Cm', 'G#', 'G#m']","['D', 'F#m', 'Bm', 'F#m', 'G', 'Em', 'A', 'D', 'Bm', 'G', 'A', 'D', 'G', 'Gm', 'D', 'Bm', 'G', 'A', 'D', 'Bm', 'G', 'A', 'D', 'Bm', 'G', 'A', 'D', 'G', 'Gm', 'D', 'Bm', 'G', 'A', 'D', 'G', 'D', 'G', 'A', 'D', 'Bm', 'G', 'A', 'D', 'G', 'A', 'D', 'Bm', 'E', 'A', 'A#', 'D#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'G#m', 'D#', 'Cm', 'G#', 'A#', 'D#', 'Cm', 'G#', 'A#', 'D#', 'Cm', 'G#', 'A#']",13,69
House Of Memories,Merle Haggard,https://guitartuna.com/chords/house-of-memories-merle-haggard-easy-guitar-chords-62617da25663d0e5b9a93b00,D major,90,0,1967,Country,"['A', 'D', 'G', 'C']","['A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'G', 'C', 'G', 'C', 'G', 'D', 'G', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'C', 'G', 'C', 'G', 'D', 'G', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'A', 'D', 'G', 'A', 'D']",4,59
